Item you want: Block you need to mine
acacia_button: waxed_weathered_cut_copper_stairs
acacia_door: green_stained_glass
acacia_fence: emerald_ore
acacia_fence_gate: large_fern
acacia_hanging_sign: warped_door
acacia_leaves: birch_slab
acacia_log: warped_hyphae
acacia_planks: waxed_copper_bars
acacia_pressure_plate: blue_orchid
acacia_sapling: sulfur_wall
acacia_shelf: brown_concrete
acacia_sign: warped_fence_gate
acacia_slab: cherry_hanging_sign
acacia_stairs: turtle_egg
acacia_trapdoor: acacia_pressure_plate
acacia_wood: anvil
activator_rail: mangrove_leaves
allium: white_tulip
amethyst_block: mycelium
amethyst_cluster: resin_brick_slab
ancient_debris: tuff_brick_wall
andesite: infested_deepslate
andesite_slab: potted_allium
andesite_stairs: tripwire
andesite_wall: mangrove_propagule
anvil: smooth_quartz_slab
attached_melon_stem: deepslate_iron_ore
attached_pumpkin_stem: stripped_birch_wood
azalea: blue_ice
azalea_leaves: waxed_exposed_lightning_rod
azure_bluet: ender_chest
bamboo: light_blue_wool
bamboo_block: raw_gold_block
bamboo_button: mossy_stone_brick_wall
bamboo_door: short_grass
bamboo_fence: black_terracotta
bamboo_fence_gate: bamboo_mosaic
bamboo_hanging_sign: mossy_stone_brick_slab
bamboo_mosaic: waxed_copper_grate
bamboo_mosaic_slab: kelp
bamboo_mosaic_stairs: sweet_berry_bush
bamboo_planks: blackstone
bamboo_pressure_plate: mud
bamboo_sapling: white_candle_cake
bamboo_shelf: chest
bamboo_sign: white_stained_glass
bamboo_slab: potted_wither_rose
bamboo_stairs: lime_concrete
bamboo_trapdoor: polished_andesite
barrel: ice
basalt: decorated_pot
beacon: sandstone_slab
beehive: jungle_button
beetroots: blue_concrete
bee_nest: waxed_oxidized_copper_grate
bell: bamboo_slab
big_dripleaf: furnace
big_dripleaf_stem: light_gray_shulker_box
birch_button: purple_shulker_box
birch_door: campfire
birch_fence: brown_candle_cake
birch_fence_gate: waxed_weathered_copper_bars
birch_hanging_sign: green_concrete_powder
birch_leaves: nether_brick_slab
birch_log: light_blue_banner
birch_planks: waxed_cut_copper_stairs
birch_pressure_plate: spruce_planks
birch_sapling: redstone_block
birch_shelf: magenta_glazed_terracotta
birch_sign: waxed_oxidized_copper
birch_slab: dandelion
birch_stairs: lily_of_the_valley
birch_trapdoor: acacia_fence
birch_wood: cracked_deepslate_bricks
blackstone: jungle_slab
blackstone_slab: reinforced_deepslate
blackstone_stairs: tripwire_hook
blackstone_wall: light_blue_concrete
black_banner: oak_slab
black_bed: soul_sand
black_candle: blue_stained_glass
black_candle_cake: purple_glazed_terracotta
black_carpet: red_sandstone_slab
black_concrete: dead_brain_coral
black_concrete_powder: diorite_wall
black_glazed_terracotta: potatoes
black_shulker_box: gray_candle_cake
black_stained_glass: cherry_wood
black_stained_glass_pane: birch_leaves
black_terracotta: wither_skeleton_skull
black_wool: andesite_wall
blast_furnace: yellow_candle
blue_banner: powder_snow
blue_bed: weeping_vines_plant
blue_candle: jungle_wood
blue_candle_cake: quartz_block
blue_carpet: blue_candle
blue_concrete: horn_coral_fan
blue_concrete_powder: mangrove_fence_gate
blue_glazed_terracotta: bee_nest
blue_ice: stone_brick_slab
blue_orchid: light_blue_candle
blue_shulker_box: spruce_button
blue_stained_glass: sulfur_brick_slab
blue_stained_glass_pane: petrified_oak_slab
blue_terracotta: gravel
blue_wool: light_gray_terracotta
bone_block: fletching_table
bookshelf: jungle_door
brain_coral: cyan_bed
brain_coral_block: oxidized_copper_grate
brain_coral_fan: potted_red_tulip
brewing_stand: sulfur_spike
bricks: cherry_slab
brick_slab: bamboo_stairs
brick_stairs: sulfur_bricks
brick_wall: exposed_copper_chain
brown_banner: polished_deepslate_stairs
brown_bed: waxed_exposed_copper_chain
brown_candle: quartz_pillar
brown_candle_cake: red_carpet
brown_carpet: waxed_oxidized_chiseled_copper
brown_concrete: dark_oak_trapdoor
brown_concrete_powder: jungle_sign
brown_glazed_terracotta: warped_pressure_plate
brown_mushroom: nether_brick_fence
brown_mushroom_block: red_sandstone
brown_shulker_box: iron_door
brown_stained_glass: cauldron
brown_stained_glass_pane: cherry_door
brown_terracotta: cobbled_deepslate_slab
brown_wool: cyan_wool
bubble_coral: stripped_jungle_log
bubble_coral_block: creaking_heart
bubble_coral_fan: white_glazed_terracotta
budding_amethyst: waxed_cut_copper
bush: waxed_weathered_cut_copper_slab
cactus: waxed_weathered_copper_chest
cactus_flower: magenta_wool
cake: black_glazed_terracotta
calcite: nether_brick_wall
calibrated_sculk_sensor: smooth_stone
campfire: stripped_oak_wood
candle: lime_candle
candle_cake: stripped_cherry_log
carrots: waxed_oxidized_cut_copper_slab
cartography_table: jungle_trapdoor
carved_pumpkin: polished_granite
cauldron: red_bed
cave_vines: small_dripleaf
cave_vines_plant: birch_log
cherry_button: waxed_exposed_copper_golem_statue
cherry_door: potted_poppy
cherry_fence: detector_rail
cherry_fence_gate: cake
cherry_hanging_sign: light_blue_carpet
cherry_leaves: cinnabar_stairs
cherry_log: allium
cherry_planks: warped_roots
cherry_pressure_plate: magenta_carpet
cherry_sapling: light_blue_shulker_box
cherry_shelf: pink_wool
cherry_sign: potted_torchflower
cherry_slab: netherrack
cherry_stairs: chiseled_sulfur
cherry_trapdoor: white_stained_glass_pane
cherry_wood: mossy_stone_bricks
chest: blackstone_wall
chipped_anvil: dead_bubble_coral_block
chiseled_bookshelf: pink_stained_glass
chiseled_cinnabar: chiseled_stone_bricks
chiseled_copper: mossy_stone_brick_stairs
chiseled_deepslate: light_weighted_pressure_plate
chiseled_nether_bricks: smooth_sandstone_slab
chiseled_polished_blackstone: iron_bars
chiseled_quartz_block: dragon_egg
chiseled_red_sandstone: weathered_copper_trapdoor
chiseled_resin_bricks: diorite_slab
chiseled_sandstone: stripped_warped_hyphae
chiseled_stone_bricks: soul_lantern
chiseled_sulfur: warped_wart_block
chiseled_tuff: kelp_plant
chiseled_tuff_bricks: jungle_planks
chorus_flower: prismarine_wall
chorus_plant: cobblestone_wall
cinnabar: seagrass
cinnabar_bricks: acacia_trapdoor
cinnabar_brick_slab: warped_button
cinnabar_brick_stairs: pale_oak_log
cinnabar_brick_wall: brown_glazed_terracotta
cinnabar_slab: potted_flowering_azalea_bush
cinnabar_stairs: crafter
cinnabar_wall: snow_block
clay: candle_cake
closed_eyeblossom: polished_sulfur
coal_block: diorite_stairs
coal_ore: light_blue_glazed_terracotta
coarse_dirt: dead_horn_coral
cobbled_deepslate: light_blue_bed
cobbled_deepslate_slab: purpur_block
cobbled_deepslate_stairs: polished_cinnabar_wall
cobbled_deepslate_wall: lava_cauldron
cobblestone: pale_oak_stairs
cobblestone_slab: weathered_copper_grate
cobblestone_stairs: purpur_slab
cobblestone_wall: bamboo_fence
cobweb: diorite
cocoa: potted_cherry_sapling
comparator: black_candle
composter: observer
conduit: brain_coral_block
copper_bars: granite_wall
copper_block: red_tulip
copper_bulb: cave_vines
copper_chain: white_candle
copper_chest: brown_terracotta
copper_door: brown_shulker_box
copper_golem_statue: polished_deepslate_slab
copper_grate: crafting_table
copper_lantern: dead_brain_coral_fan
copper_ore: mud_bricks
copper_torch: mud_brick_slab
copper_trapdoor: pale_oak_sapling
cornflower: oxidized_copper_bars
cracked_deepslate_bricks: black_stained_glass
cracked_deepslate_tiles: red_terracotta
cracked_nether_bricks: orange_shulker_box
cracked_polished_blackstone_bricks: orange_concrete_powder
cracked_stone_bricks: smoker
crafter: copper_ore
crafting_table: dispenser
creaking_heart: weathered_copper_chest
creeper_head: firefly_bush
crimson_button: ladder
crimson_door: oak_trapdoor
crimson_fence: water_cauldron
crimson_fence_gate: bamboo_sapling
crimson_fungus: spruce_door
crimson_hanging_sign: dead_fire_coral_block
crimson_hyphae: weathered_copper_door
crimson_nylium: deepslate_coal_ore
crimson_planks: ochre_froglight
crimson_pressure_plate: black_stained_glass_pane
crimson_roots: blue_terracotta
crimson_shelf: pink_candle
crimson_sign: potted_dark_oak_sapling
crimson_slab: bamboo_button
crimson_stairs: warped_sign
crimson_stem: gray_bed
crimson_trapdoor: polished_tuff_slab
crying_obsidian: infested_stone_bricks
cut_copper: cracked_nether_bricks
cut_copper_slab: weathered_chiseled_copper
cut_copper_stairs: carrots
cut_red_sandstone: potted_red_mushroom
cut_red_sandstone_slab: cornflower
cut_sandstone: dark_prismarine_slab
cut_sandstone_slab: waxed_lightning_rod
cyan_banner: stripped_crimson_hyphae
cyan_bed: crimson_planks
cyan_candle: mossy_cobblestone_wall
cyan_candle_cake: polished_cinnabar_stairs
